room_type,price,minimum_nights,neighborhood_id,host_id,listing_name,listing_id
Entire home/apt,138,1,104,10797296,2BR 1.5 BATH  town house close to everything,26143461
Entire home/apt,123,3,106,30832,2BR 2BA ***HALF PRICE*** re-listing Downtown,2620429
Entire home/apt,183,30,132,48005494,2BR Apartment in Seattle,582624056629461000
Entire home/apt,207,30,114,48005494,2BR Apartment in Seattle w/Parking & Pets OK,50394587
Entire home/apt,70,28,132,424931782,2BR Apt in Lovely Queen Anne Home,52780817
Entire home/apt,130,30,132,435618797,2BR Chic + Colorful Retreat 4m to DT Seattle - NEW,515304967182833000
Entire home/apt,122,1,117,17269911,2BR Green Lake View Penthouse & Rooftop Deck,17483323
Entire home/apt,92,3,118,236442276,2BR Greenwood Artists Hideaway,31545482
Entire home/apt,104,1,115,20041587,"2BR in heart of Seattle, close to DT, UW. Parking!",27464173
Entire home/apt,186,30,107,48005494,2BR in Seattle Across from Athletic Park,33803909
Entire home/apt,99,1,101,278405609,2BR Private Unit w/ A/C Fast WiFi Great VIEWS!,53368885
Entire home/apt,220,1,106,417659573,2BR Suite in Downtown w Parking - Convention Ctr,51556243
Entire home/apt,92,1,133,427093209,2BR Suite-Walk to Lightrail for DT/Airport Access!,52791612
Entire home/apt,266,1,104,415867520,2BR Townhome in Capitol Hill w City&Skyline Views!,53397069
Entire home/apt,204,14,135,8802134,2BR UV-C sanitized 950sf sunlit garden duplex,8165389
Entire home/apt,229,2,106,32522941,"2BR VIEW! 98% Walk Score, FREE pkg, pool, hot tub!",8409750
Entire home/apt,116,2,115,253059,"2BR, 3 beds, outdoor area, short walk to transit",23329400
Entire home/apt,179,1,115,4071088,"2BR/1BA + parking in the ""Center of the Universe""",8054902
Entire home/apt,247,3,106,30832,2BR/2BA  ***HALF OFF***  Downtown - FREE Parking,24393004
Entire home/apt,305,1,106,56784852,2-King Executive Penthouse Near Pike & Waterfront,21699076
Entire home/apt,126,2,115,14012754,2-level Flat in downtown Fremont,12473960
Entire home/apt,97,30,101,409129017,2mi→Downtown★Balcony★940Mbps★W/D★Min to Rail★Views,51599231
Entire home/apt,104,30,101,409129017,2mi→Major Hospitals   940Mbps   Full Kitchen   W/D,51650986
Entire home/apt,307,4,134,10397663,3 Bd Home w/ View of Lake,9364302
Entire home/apt,213,2,104,38189524,3 Bed Modern Townhome with Stunning Rooftop Views!,53770284
Entire home/apt,374,3,104,5741615,"3 Bedrm City Central Lux Design House, Patio, BBQ",45710741
Entire home/apt,593,2,103,9060841,3 Bedroom Designer Home w/ Views + Private Rooftop,7697340
Entire home/apt,307,30,105,54669634,3 bedroom Ranch -Top Floor- Quiet on  Cul-du-Sac,16283445
Entire home/apt,80,30,101,180067733,3 bedroom Summer house available July- August,50366989
Entire home/apt,489,3,132,9065858,"3 Bedroom, Modern family city home...",44046825
Entire home/apt,130,2,104,89042696,"3 bedrooms 2 baths house, centrally located",15318650
Entire home/apt,134,2,136,22556518,3 BR Spacious House in the Heart of West Seattle,49144243
Entire home/apt,165,5,101,6378624,3 BR Townhouse with Lots of Natural Light,41180309
Entire home/apt,88,30,135,3074414,3 Min walk to UW and bus lines Large & Clean (42),49796935
Entire home/apt,95,30,135,3074414,"3 Min walk to UW, Top Floor Large & Clean (51)",13252771
Entire home/apt,159,1,101,398317720,"3 mins to Light Rail, Pet-Friendly, w/ Fiber internet & A/C! Lots of parking spaces!",53735092
Entire home/apt,184,30,110,407735842,3B spacious townhouse/balconies & yard 院落阳台通风联体别墅,51587153
Entire home/apt,245,3,109,132702642,3-Bedroom House with Office near Discovery Park,52922736
Entire home/apt,250,2,101,436404870,3-bedrooms home 6 miles from Downtown Seattle,53876488
Entire home/apt,200,30,104,157567756,3BR Capitol Hill Home With Roof Deck & Views,49838282
Entire home/apt,275,30,132,435618797,3BR Chic + Colorful Retreat 4mi to DT Seattle -NEW,515390614748916000
Entire home/apt,155,2,133,286889835,3br Guest House with Lake Washington View!,37876533
Entire home/apt,150,5,102,17517740,3br home w/Parking nxt to Downtown in Cap hill,38455132
Private room,325,2,104,87802215,3BRs w/ AC in grand Victorian in heart of Seattle,42208169
Entire home/apt,250,2,104,80275196,"3-Story, 2-Bedroom Townhouse w/ Large Rooftop Deck",51328189
Entire home/apt,168,30,101,158190182,4 Bedroom Family Home on Beacon Hill,21724500
Entire home/apt,212,5,101,126511331,40 Days Fast (non-smoking),41683969
Entire home/apt,75,30,118,17935405,420 Garden Studio,24245145
Entire home/apt,133,1,135,7435040,4212 (12.20) UW 2 Bedm Townhouse · N Seattle home,52226418
Entire home/apt,119,1,133,225034304,4-Amazing Studio in Columbia City-Near Light Rail,31623027
Entire home/apt,208,30,105,407735842,4B house w/ fenced yard close to DT 近西雅图市区全家具独立别墅,51154131
Entire home/apt,150,1,101,5325329,"4bed/3.5bath- Near Airport, Stadiums, and Downtown",574677856758476000
Entire home/apt,450,3,103,314324381,4-Bedroom Eastlake w/ Roof Top,587845918668028000
Entire home/apt,435,2,133,371227093,4-BR House with Stunning Seattle City View,46308452
Entire home/apt,164,1,101,34169879,"4BR Smart Home in ♡ of City! 10min DT, 15min SEA",29984580
Entire home/apt,215,1,132,7435040,5 BDRM Top Queen Anne Quiet home & 5 min 2 DT,52429099
Entire home/apt,450,3,102,67763902,"5 bed 2 bath house, Volunteer Park  Capitol Hill",34924092
Entire home/apt,300,3,109,5630551,5 bedrooms 1909 Magnolia Splendor,50006008
Entire home/apt,280,30,132,403721929,5 Min to Downtown Seattle! 3BR & 2BA Cozy Townhome,50190341
Entire home/apt,96,30,106,4874276,5 min Walk to Convention Center View Studio Condo,25664899
Entire home/apt,133,3,136,101315084,5 Star🌟Superhost☆West Seattle Gem🌟Walk to Beach,21039284
Private room,45,30,136,132675251,5284 Fancy Room,35796742
Private room,85,1,104,208910211,5⭐- Perfect location w/ A/C & steps away from bus,27678040
Entire home/apt,370,2,133,145720154,"5br 8bed house near airport, downtown & train",42860814
Entire home/apt,357,3,102,168817864,5BR/3BA Capitol Hill home in the heart of Seattle!,25261563
Entire home/apt,70,30,133,168997773,5-Room Suite & Courtyard in Historic Columbia City,41321239
Entire home/apt,70,30,133,168997773,5-Room Suite in Historic Columbia City,38981597
Entire home/apt,899,6,132,22372266,6 Bdrm Home 5 mins 2 DT- Perfect 4 Groups & Family,5680462
Entire home/apt,449,30,125,111772553,"6 Bedroom, Family Friendly Craftsman in Ravenna",27107417
Private room,25,30,134,28763024,6349单房出租,20165246
Private room,24,30,101,28763024,6810单房2出租,49798702
Entire home/apt,228,30,108,407735842,6B large house/ 4 bathroom/ garage / yard 六房独立别墅。,43458946
Entire home/apt,3000,180,106,160392384,6th months or longer home in the Heart of Seattle,51959550
Entire home/apt,550,2,132,184130624,7 BDRM QUEEN ANNE RETREAT  - Prime/Quiet location!,49798698
Entire home/apt,266,2,132,7435040,"7 BDRM Top Queen Anne Craftsman House, 5 min 2 DT",52188595
Entire home/apt,3750,210,104,13960065,7 month lease. Furnished Classic Madrona Craftsman,49211457
Entire home/apt,100,30,104,33119827,700+ sq ft 1-bedroom apartment with a balcony,24395100
Entire home/apt,288,30,133,407735842,7B large house / gated yard and lake view,52995284
Entire home/apt,299,30,133,407735842,7B large house / gated yard and lake view 大型独立别墅,13224936
Entire home/apt,173,2,106,104834083,"7th-Floor Condo in Amazing Location w/City Views, Washer/Dryer, Shared Roof Deck",50935281
Entire home/apt,95,30,132,2612779,"8, Sparkling Seattle Center",51558728
Entire home/apt,131,2,133,299224265,9 beds 4BR 2BA lake view house upper unit,50510797
Entire home/apt,299,30,130,75107528,"98115,  UW, Childrens and NW Hospital and Downtown",53828502
Entire home/apt,34,30,102,20994898,99 Walk Score - Capitol Hill,544433
Entire home/apt,125,1,101,281546377,A beautiful house in the heart of SEATTLE,48634798
Entire home/apt,175,5,118,16425882,A Beautiful House Set in a Peaceful City Oasis,16232208
Private room,73,2,108,37795322,A beautiful house with a lake view,54036630
Private room,41,2,108,37795322,A beautiful house with a lake view #1,37364134
Private room,146,10,130,185368272,"A brand new house & furniture,big private bathroom",38356001
Private room,97,10,130,185368272,A brand new house with top of the line amenities-1,7219541
Entire home/apt,262,1,102,25714968,A Cheerful 2 bed home w/HotTub & Space Needle view,43103347
Private room,55,30,111,253105562,A cozy hidden gem lovingly maintained in N Seattle,34385038
Entire home/apt,97,1,132,261689152,"A Cozy Light-Filled Retreat in Queen Anne, Seattle",34534774
Entire home/apt,116,30,132,211011898,A Cozy Oasis,53337785
Entire home/apt,111,3,136,75191775,A Cozy Private Getaway at Alki Beach,33589084
Private room,88,60,135,35065561,A cozy private room for summer visitor in Seattle,34690515
Entire home/apt,377,2,108,17740302,A Frame Architectural Retreat with Lego Kitchen,34756492
Entire home/apt,85,30,100,1375021,A Garden Guest House,25522851
Entire home/apt,182,30,102,10013531,A Gorgeous renovated vintage Capitol Hill Apt,50137417
Entire home/apt,99,30,100,21528698,A great getaway to the heart of Ballard!,6603376
Entire home/apt,120,30,136,4942505,A Guest Suite at the AlkibeachBungalow,3689119
Entire home/apt,110,3,106,359138746,A Hidden Gem,11356904
Entire home/apt,175,30,105,261840044,A house that feels like home : West Seattle,29775779
Entire home/apt,235,6,106,16587333,A Lovely Space Above Pike Place,25816497
Entire home/apt,69,1,103,41214779,A Moody Getaway in the Heart of Seattle,51349298
Entire home/apt,175,30,106,359069961,A place of your own   1BR in Seattle,34714794
Entire home/apt,175,30,106,359069961,A place of your own   1BR in Seattle,35286216
Entire home/apt,110,30,133,3022709,A place to stay: studio apartment,51867680
Private room,28,30,110,111066204,A place where it all connect,47182035
Private room,25,30,110,111066204,A place where it all connect! Homestay 3,560223554619587000
Private room,85,1,109,23878721,A quiet oasis in Seattle,609610
Private room,60,30,108,6506114,A Quiet Room in a House by the Lake,17228224
Private room,60,30,108,6506114,A Quiet Room in a House by the Lake,19738365
Private room,42,30,118,2696775,A Touch of Europe #1 or Ideal for Solo Traveler#2,4608208
Entire home/apt,418,30,103,39834464,A View Home at Eastlake,1190224
Entire home/apt,257,2,104,6807326,A Walkers Paradise in Capitol Hill!,1190571
Private room,25,30,101,28763024,三房一厅house 房间租,5640722
Entire home/apt,125,2,112,13004337,★ 800sqft ★ Private Entr + Bath ★Near Carkeek Park,43958528
Entire home/apt,95,30,126,141058204,"★ Clean, comfy, quiet private apartment! ★",6451305
Entire home/apt,118,1,101,220286676,★ Comfy and Spacious — Easy walk to VA Hospital  ★,13789894
Entire home/apt,62,30,104,224724210,★ Cozy Studio in Capitol Hill / Central District ★,5304739
Entire home/apt,71,30,102,37151043,★ Stylish Capitol Hill Studio Walk Everywhere ★,19914644
Entire home/apt,575,2,132,31664755,★ Unique & Lovely on Queen Anne ★Close to Downtown,38700083
Entire home/apt,136,2,125,60991957,★Charming Seattle-Ravenna Getaway★,29889060
Entire home/apt,83,1,101,428664489,★Delightful Guest Suite Btwn Airport & Downtown★,11335586
Entire home/apt,248,2,109,436672049,★Elegant & Comfy ~ Balcony ~ Stunning Views★,51175064
Entire home/apt,118,1,106,1979300,★Free Parking★Space Needle View★Laundry★Sleeps 4,51025971
Entire home/apt,123,2,105,256261465,"★Newly Remodeled, Modern 1 BD in Highland Park★",53181900
Entire home/apt,75,7,105,134569943,"★Quiet, Charming, Convenient★Bus./Vac.★1BD/1BA",554382829484671000
Entire home/apt,83,2,106,13045913,☕ Beautiful condo right next to Space Needle!,17510283
Entire home/apt,182,1,102,398317720,【Modern Oasis】Heart of Capitol Hill   Walk to everything!,53043060
Entire home/apt,172,1,102,133871979,【Walk Score 96】❤️of Capitol Hill   Quiet & Peaceful!,44900179
Entire home/apt,278,2,100,50412282,“Lady Mary” 3 Bedroom Ballard Cottage,41381981
Private room,88,30,110,132859604,“SEATTLE VIBE”Basement /Cabin Unique Boho Charm,558196743372407000
Entire home/apt,149,1,103,116610090,“South Lake Union 1BR Downtown Seattle”,41154313
Entire home/apt,205,3,105,189578858,⭐ 3 Master Bedrooms   Contemporary 3 Story House,48499024
Entire home/apt,84,1,102,37151043,❣ Awesome Capitol Hill Apt! Close To Everything,36876200
Entire home/apt,147,1,115,16931784,"❤ Charming WFH oasis, 84walkscore, Cuteyard, W/D ❤",46012059
Entire home/apt,549,30,133,24702474,❤180° Waterfront Acre Views @ vacationloghome•com,51323246
Entire home/apt,119,2,106,179254749,❤️️ Lovely 1-br Waterfront Flat in Downtown Seattle,21595583
Entire home/apt,326,5,129,165390,❤️󱀁 modern ✔roof deck ✔garage✔90Walkscore [Rare],50159729
Entire home/apt,210,3,106,36960707,⭐King⭐30Mbps⭐W/D⭐10 min→Pike Place & Space Needle⭐,21322533
Entire home/apt,85,30,102,1838818,A05: Cozy space in perfect Capitol Hill location,52668560
Entire home/apt,105,3,102,1838818,A17: Cozy space in perfect Capitol Hill Location,430610
Private room,289,30,124,6137030,Aa Great Room at the Top of the World 30+,35933365
Private room,289,30,124,6137030,Aa SkyCloud Room at the Top of the World,29221322
Entire home/apt,65,30,101,301107,Abba's Urban Seattle Tent #Glamping,29221597
Entire home/apt,127,2,106,408512841,Absolutely Stunning Industrial-Chic One Bdrm Condo,29280801
Entire home/apt,100,3,118,53953964,Abundant Townhome Style with rooftop deck!,17462390
Private room,42,30,102,39834464,A-Capital Hill Hideaway,17556476
Private room,43,30,102,39834464,A-Center of Capital Hill-  3,7718139
Private room,51,30,102,39834464,A-Center of Capital Hill- 3,50561357
Private room,44,30,102,39834464,A-Center of Capital Hill- Sleep 2,41377176
Entire home/apt,90,30,101,409129017,ADA Compliant ★2mi→Major Hospitals ★W/D ★Balcony,39139048
Entire home/apt,133,3,106,4874276,Adjacent to Wa Convention Center 1bd View Condo,17790632
Entire home/apt,85,30,136,5101107,Admiral's Nest: Luxury Condo in West Seattle,43320834
Entire home/apt,189,2,134,32005391,Admire Lake Views from the Sun Deck at a Spacious Retreat,37637187
Entire home/apt,75,30,125,56773827,Adorable 1-bedroom private attached apt.,51625558
Entire home/apt,78,1,110,435043120,Adorable 2 Bedroom Suite in Maple Leaf!,20269058
Entire home/apt,120,1,123,102237042,Adorable 2 bedroom unit in quiet beach community.,38077704
Entire home/apt,103,2,104,91504451,Adorable 2-story backyard garden cottage,6168975
Entire home/apt,161,2,102,170652190,Adorable Arboretum 1bd Apartment,52936133
Entire home/apt,92,45,102,4292542,Adorable Capitol Hill Studio Condo,53923907
Entire home/apt,179,30,102,111812937,"Adorable cottage near downtown w/ private patio, free WiFi, & full kitchen!",50328620
Entire home/apt,146,30,101,11206862,Adorable Cottage near Light Rail,548834184758507000
Entire home/apt,90,30,136,60704884,Adorable first floor with a private patio.,50994901
Entire home/apt,179,15,106,77749648,Adorable Full Apartment In Historic Downtown Seattle Ideal for Long term Stays!,43752988
Entire home/apt,138,2,108,111812937,"Adorable ground-level guest house w/ free WiFi, a kitchenette, & shared yard",47120216
